tail_number,date,aircraft,origin,origin_location,destination,destination_location,departure,arrival,duration,medical_service
N7025P,28-Feb-2021,Unknown,"Near Bend, OR",L 43.95194 -121.28694,,Unknown,First seen 04:59PM PST,,En Route,A PRECIOUS LIFE FLIGHT LLC                        
N7025P,28-Feb-2021,Unknown,Tews Fld (CA53),"Tews Fld (Redding, CA) - CA53","Near Bend, OR",L 43.81944 -121.37583,01:36PM PST,Last seen 03:01PM PST,1:24,A PRECIOUS LIFE FLIGHT LLC                        
N7025P,21-Feb-2021,Unknown,"Near Lincoln, CA",L 38.93333 -121.41667,Redding Muni (KRDD),"Redding Muni (Redding, CA) - KRDD",First seen 03:02PM PST,Last seen 03:49PM PST,0:47,A PRECIOUS LIFE FLIGHT LLC                        
N7025P,21-Feb-2021,Unknown,"Near Red Bluff, CA",L 40.24000 -122.19083,"Near Marysville, CA",L 38.94750 -121.52250,First seen 12:46PM PST,Last seen 01:20PM PST,0:33,A PRECIOUS LIFE FLIGHT LLC                        
N7025P,24-Dec-2020,Unknown,"Near Red Bluff, CA",L 40.28861 -122.05861,"Near Emigrant Gap, CA",L 39.77972 -120.52333,First seen 09:25AM PST,Last seen 10:02AM PST,0:36,A PRECIOUS LIFE FLIGHT LLC                        
N269GJ,18-Dec-2020,LJ60,Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",Fort Lauderdale Exec (KFXE),"Fort Lauderdale Exec (Fort Lauderdale, FL) - KFXE",08:53AM CST,12:20PM EST,2:26,AEROCARE MEDICAL TRANSPORT SYSTEM INC             
N888CP,27-Feb-2021,LJ31,General Downing - Peoria Intl (KPIA),"General Downing - Peoria Intl (Peoria, IL) - KPIA",Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",06:57PM CST,07:19PM CST,0:22,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,27-Feb-2021,LJ31,Chicago Midway Intl (KMDW),"Chicago Midway Intl (Chicago, IL) - KMDW",General Downing - Peoria Intl (KPIA),"General Downing - Peoria Intl (Peoria, IL) - KPIA",05:45PM CST,06:14PM CST,0:28,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,27-Feb-2021,LJ31,General Downing - Peoria Intl (KPIA),"General Downing - Peoria Intl (Peoria, IL) - KPIA",Chicago Midway Intl (KMDW),"Chicago Midway Intl (Chicago, IL) - KMDW",12:56PM CST,01:24PM CST,0:27,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,27-Feb-2021,LJ31,Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",General Downing - Peoria Intl (KPIA),"General Downing - Peoria Intl (Peoria, IL) - KPIA",11:40AM CST,12:04PM CST,0:23,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,26-Feb-2021,LJ31,Phoenix Sky Harbor Intl (KPHX),"Phoenix Sky Harbor Intl (Phoenix, AZ) - KPHX",Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",02:24PM MST,05:58PM CST,2:34,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,26-Feb-2021,LJ31,Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",Phoenix Sky Harbor Intl (KPHX),"Phoenix Sky Harbor Intl (Phoenix, AZ) - KPHX",10:11AM CST,12:58PM MST,3:47,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,22-Feb-2021,LJ31,Cincinnati Muni (KLUK),"Cincinnati Muni (Cincinnati, OH) - KLUK",Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",02:55PM EST,02:52PM CST,0:56,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,22-Feb-2021,LJ31,Minneapolis/St Paul Intl (KMSP),"Minneapolis/St Paul Intl (Minneapolis, MN) - KMSP",Cincinnati Muni (KLUK),"Cincinnati Muni (Cincinnati, OH) - KLUK",11:26AM CST,01:48PM EST,1:22,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,22-Feb-2021,LJ31,Pangborn Meml (KEAT),"Pangborn Meml (Wenatchee, WA) - KEAT",Minneapolis/St Paul Intl (KMSP),"Minneapolis/St Paul Intl (Minneapolis, MN) - KMSP",05:10AM PST,09:44AM CST,2:34,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,21-Feb-2021,LJ31,Centennial (KAPA),"Centennial (Denver, CO) - KAPA",Pangborn Meml (KEAT),"Pangborn Meml (Wenatchee, WA) - KEAT",12:08PM MST,01:48PM PST,2:39,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,21-Feb-2021,LJ31,Dallas Love Fld (KDAL),"Dallas Love Fld (Dallas, TX) - KDAL",Centennial (KAPA),"Centennial (Denver, CO) - KAPA",10:32AM CST,11:15AM MST,1:43,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,21-Feb-2021,LJ31,Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",Dallas Love Fld (KDAL),"Dallas Love Fld (Dallas, TX) - KDAL",07:09AM CST,09:23AM CST,2:14,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,20-Feb-2021,LJ31,Glendale Muni (KGEU),"Glendale Muni (Glendale, AZ) - KGEU",Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",12:22PM MST,03:57PM CST,2:35,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,19-Feb-2021,LJ31,Tulsa Intl (KTUL),"Tulsa Intl (Tulsa, OK) - KTUL",Glendale Muni (KGEU),"Glendale Muni (Glendale, AZ) - KGEU",07:43PM CST,09:26PM MST,2:42,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,19-Feb-2021,LJ31,Richmond Intl (KRIC),"Richmond Intl (Richmond, VA) - KRIC",Tulsa Intl (KTUL),"Tulsa Intl (Tulsa, OK) - KTUL",05:09PM EST,07:00PM CST,2:50,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,19-Feb-2021,LJ31,Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",Richmond Intl (KRIC),"Richmond Intl (Richmond, VA) - KRIC",12:23PM CST,02:52PM EST,1:29,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,17-Feb-2021,LJ31,Northeast Philadelphia (KPNE),"Northeast Philadelphia (Philadelphia, PA) - KPNE",Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",02:39PM EST,03:46PM CST,2:06,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,17-Feb-2021,LJ31,Greenville Downtown (KGMU),"Greenville Downtown (Greenville, SC) - KGMU",Northeast Philadelphia (KPNE),"Northeast Philadelphia (Philadelphia, PA) - KPNE",11:25AM EST,12:35PM EST,1:09,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,17-Feb-2021,LJ31,Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",Greenville Downtown (KGMU),"Greenville Downtown (Greenville, SC) - KGMU",06:32AM CST,08:59AM EST,1:26,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,16-Feb-2021,LJ31,Chicago Midway Intl (KMDW),"Chicago Midway Intl (Chicago, IL) - KMDW",Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",10:00PM CST,10:10PM CST,0:09,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,16-Feb-2021,LJ31,Milwaukee Mitchell Intl Airport (KMKE),"Milwaukee Mitchell Intl Airport (Milwaukee, WI) - KMKE",Chicago Midway Intl (KMDW),"Chicago Midway Intl (Chicago, IL) - KMDW",09:18PM CST,09:43PM CST,0:25,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,16-Feb-2021,LJ31,Chicago Midway Intl (KMDW),"Chicago Midway Intl (Chicago, IL) - KMDW",Milwaukee Mitchell Intl Airport (KMKE),"Milwaukee Mitchell Intl Airport (Milwaukee, WI) - KMKE",04:25PM CST,04:48PM CST,0:22,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,16-Feb-2021,LJ31,Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",Chicago Midway Intl (KMDW),"Chicago Midway Intl (Chicago, IL) - KMDW",03:09PM CST,03:24PM CST,0:14,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,16-Feb-2021,LJ31,Long Island MacArthur (KISP),"Long Island MacArthur (Ronkonkoma, NY) - KISP",Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",04:11AM EST,05:26AM CST,2:14,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,16-Feb-2021,LJ31,Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",Long Island MacArthur (KISP),"Long Island MacArthur (Ronkonkoma, NY) - KISP",12:00AM CST,03:04AM EST,2:03,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,11-Feb-2021,LJ31,Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",10:32AM CST,11:25AM CST,0:53,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,24-Jan-2021,LJ31,Akron-Canton Rgnl (KCAK),"Akron-Canton Rgnl (Akron, OH) - KCAK",Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",04:41PM EST,04:58PM CST,1:17,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,24-Jan-2021,LJ31,McCarran Intl (KLAS),"McCarran Intl (Las Vegas, NV) - KLAS",Akron-Canton Rgnl (KCAK),"Akron-Canton Rgnl (Akron, OH) - KCAK",09:09AM PST,03:40PM EST,3:31,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,24-Jan-2021,LJ31,Centennial (KAPA),"Centennial (Denver, CO) - KAPA",McCarran Intl (KLAS),"McCarran Intl (Las Vegas, NV) - KLAS",07:38AM MST,08:11AM PST,1:33,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,24-Jan-2021,LJ31,Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",Centennial (KAPA),"Centennial (Denver, CO) - KAPA",04:56AM CST,06:28AM MST,2:32,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,24-Jan-2021,LJ31,Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",Colorado Sprgs Muni (KCOS),"Colorado Sprgs Muni (Colorado Springs, CO) - KCOS",04:56AM CST,,Diverted,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,15-Jan-2021,LJ31,McGhee Tyson (KTYS),"McGhee Tyson (Knoxville, TN) - KTYS",Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",02:10AM EST,02:19AM CST,1:08,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,14-Jan-2021,LJ31,Northwest Alabama Rgnl (KMSL),"Northwest Alabama Rgnl (Muscle Shoals, AL) - KMSL",McGhee Tyson (KTYS),"McGhee Tyson (Knoxville, TN) - KTYS",09:47PM CST,11:31PM EST,0:44,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,14-Jan-2021,LJ31,Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",Northwest Alabama Rgnl (KMSL),"Northwest Alabama Rgnl (Muscle Shoals, AL) - KMSL",05:36PM CST,06:56PM CST,1:19,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,12-Jan-2021,LJ31,Chicago Midway Intl (KMDW),"Chicago Midway Intl (Chicago, IL) - KMDW",Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",11:22PM CST,11:33PM CST,0:10,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,12-Jan-2021,LJ31,Willow Run (KYIP),"Willow Run (Detroit, MI) - KYIP",Chicago Midway Intl (KMDW),"Chicago Midway Intl (Chicago, IL) - KMDW",11:21PM EST,11:02PM CST,0:41,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,12-Jan-2021,LJ31,Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",Willow Run (KYIP),"Willow Run (Detroit, MI) - KYIP",05:02PM CST,06:47PM EST,0:44,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,11-Jan-2021,LJ31,Chicago Midway Intl (KMDW),"Chicago Midway Intl (Chicago, IL) - KMDW",Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",01:35AM CST,01:46AM CST,0:10,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,11-Jan-2021,LJ31,Detroit Metro Wayne Co (KDTW),"Detroit Metro Wayne Co (Detroit, MI) - KDTW",Chicago Midway Intl (KMDW),"Chicago Midway Intl (Chicago, IL) - KMDW",01:31AM EST,01:11AM CST,0:40,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,10-Jan-2021,LJ31,Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",Detroit Metro Wayne Co (KDTW),"Detroit Metro Wayne Co (Detroit, MI) - KDTW",10:49PM CST,12:35AM EST (+1),0:46,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,10-Jan-2021,LJ31,James M Cox Dayton Intl (KDAY),"James M Cox Dayton Intl (Dayton, OH) - KDAY",Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",01:57PM EST,01:49PM CST,0:51,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,10-Jan-2021,LJ31,James M Cox Dayton Intl (KDAY),"James M Cox Dayton Intl (Dayton, OH) - KDAY",James M Cox Dayton Intl (KDAY),"James M Cox Dayton Intl (Dayton, OH) - KDAY",01:57PM EST,03:07PM EST,1:10,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,10-Jan-2021,LJ31,Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",James M Cox Dayton Intl (KDAY),"James M Cox Dayton Intl (Dayton, OH) - KDAY",10:20AM CST,12:03PM EST,0:42,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,09-Jan-2021,LJ31,Chicago Midway Intl (KMDW),"Chicago Midway Intl (Chicago, IL) - KMDW",Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",04:39PM CST,04:49PM CST,0:10,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,09-Jan-2021,LJ31,Rochester Intl (KRST),"Rochester Intl (Rochester, MN) - KRST",Chicago Midway Intl (KMDW),"Chicago Midway Intl (Chicago, IL) - KMDW",01:11PM CST,02:01PM CST,0:50,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,09-Jan-2021,LJ31,Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",Rochester Intl (KRST),"Rochester Intl (Rochester, MN) - KRST",10:37AM CST,11:21AM CST,0:43,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,07-Jan-2021,LJ31,St Paul Holman Fld (KSTP),"St Paul Holman Fld (St Paul, MN) - KSTP",Chicago Midway Intl (KMDW),"Chicago Midway Intl (Chicago, IL) - KMDW",10:23AM CST,11:22AM CST,0:58,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,07-Jan-2021,LJ31,Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",St Paul Holman Fld (KSTP),"St Paul Holman Fld (St Paul, MN) - KSTP",04:15AM CST,05:12AM CST,0:57,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,06-Jan-2021,LJ31,Chicago Midway Intl (KMDW),"Chicago Midway Intl (Chicago, IL) - KMDW",Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",07:20PM CST,07:32PM CST,0:11,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,06-Jan-2021,LJ31,Indianapolis Intl (KIND),"Indianapolis Intl (Indianapolis, IN) - KIND",Chicago Midway Intl (KMDW),"Chicago Midway Intl (Chicago, IL) - KMDW",07:30PM EST,07:06PM CST,0:35,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,06-Jan-2021,LJ31,Chicago Midway Intl (KMDW),"Chicago Midway Intl (Chicago, IL) - KMDW",Indianapolis Intl (KIND),"Indianapolis Intl (Indianapolis, IN) - KIND",12:42PM CST,02:15PM EST,0:32,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,06-Jan-2021,LJ31,Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",Chicago Midway Intl (KMDW),"Chicago Midway Intl (Chicago, IL) - KMDW",11:30AM CST,11:47AM CST,0:16,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,30-Dec-2020,LJ31,Baltimore/Washington Intl (KBWI),"Baltimore/Washington Intl (Baltimore, MD) - KBWI",Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",10:53PM EST,11:49PM CST,1:56,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,30-Dec-2020,LJ31,Rogers Exec - Carter Fld (KROG),"Rogers Exec - Carter Fld (Rogers, AR) - KROG",Baltimore/Washington Intl (KBWI),"Baltimore/Washington Intl (Baltimore, MD) - KBWI",05:25PM CST,08:16PM EST,1:50,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,30-Dec-2020,LJ31,Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",Rogers Exec - Carter Fld (KROG),"Rogers Exec - Carter Fld (Rogers, AR) - KROG",12:44PM CST,02:18PM CST,1:33,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,28-Dec-2020,LJ31,Chicago Midway Intl (KMDW),"Chicago Midway Intl (Chicago, IL) - KMDW",Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",05:34PM CST,05:45PM CST,0:10,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,28-Dec-2020,LJ31,Indianapolis Intl (KIND),"Indianapolis Intl (Indianapolis, IN) - KIND",Chicago Midway Intl (KMDW),"Chicago Midway Intl (Chicago, IL) - KMDW",05:36PM EST,05:12PM CST,0:35,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,28-Dec-2020,LJ31,Chicago Midway Intl (KMDW),"Chicago Midway Intl (Chicago, IL) - KMDW",Indianapolis Intl (KIND),"Indianapolis Intl (Indianapolis, IN) - KIND",11:34AM CST,01:05PM EST,0:30,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,28-Dec-2020,LJ31,Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",Chicago Midway Intl (KMDW),"Chicago Midway Intl (Chicago, IL) - KMDW",09:58AM CST,10:14AM CST,0:15,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,26-Dec-2020,LJ31,Chicago Midway Intl (KMDW),"Chicago Midway Intl (Chicago, IL) - KMDW",Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",03:25PM CST,03:35PM CST,0:10,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,26-Dec-2020,LJ31,Willow Run (KYIP),"Willow Run (Detroit, MI) - KYIP",Chicago Midway Intl (KMDW),"Chicago Midway Intl (Chicago, IL) - KMDW",03:23PM EST,03:07PM CST,0:44,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,26-Dec-2020,LJ31,Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",Willow Run (KYIP),"Willow Run (Detroit, MI) - KYIP",11:28AM CST,01:16PM EST,0:47,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,13-Dec-2020,LJ31,San Jose Int'l (KSJC),"San Jose Int'l (San Jose, CA) - KSJC",Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",04:59PM PST,10:40PM CST,3:40,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,13-Dec-2020,LJ31,Cheyenne Rgnl (KCYS),"Cheyenne Rgnl (Cheyenne, WY) - KCYS",San Jose Int'l (KSJC),"San Jose Int'l (San Jose, CA) - KSJC",01:42PM MST,03:14PM PST,2:31,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,13-Dec-2020,LJ31,Milwaukee Mitchell Intl Airport (KMKE),"Milwaukee Mitchell Intl Airport (Milwaukee, WI) - KMKE",Cheyenne Rgnl (KCYS),"Cheyenne Rgnl (Cheyenne, WY) - KCYS",11:34AM CST,12:48PM MST,2:13,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,13-Dec-2020,LJ31,Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",Milwaukee Mitchell Intl Airport (KMKE),"Milwaukee Mitchell Intl Airport (Milwaukee, WI) - KMKE",09:51AM CST,10:12AM CST,0:21,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,12-Dec-2020,LJ31,Clearwater Intl (KPIE),"Clearwater Intl (St Petersburg-Clearwater, FL) - KPIE",Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",05:29PM EST,06:58PM CST,2:28,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,12-Dec-2020,LJ31,San Antonio Intl (KSAT),"San Antonio Intl (San Antonio, TX) - KSAT",Clearwater Intl (KPIE),"Clearwater Intl (St Petersburg-Clearwater, FL) - KPIE",01:47AM CST,04:43AM EST,1:55,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,11-Dec-2020,LJ31,Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",San Antonio Intl (KSAT),"San Antonio Intl (San Antonio, TX) - KSAT",08:23PM CST,11:18PM CST,2:54,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,10-Dec-2020,LJ31,Missoula Intl (KMSO),"Missoula Intl (Missoula, MT) - KMSO",Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",09:45PM MST,01:53AM CST (+1),3:07,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,10-Dec-2020,LJ31,Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",Missoula Intl (KMSO),"Missoula Intl (Missoula, MT) - KMSO",05:35PM CST,07:57PM MST,3:21,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,10-Dec-2020,LJ31,Bangor Intl (KBGR),"Bangor Intl (Bangor, ME) - KBGR",Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",03:14PM EST,04:53PM CST,2:38,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,10-Dec-2020,LJ31,Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",Bangor Intl (KBGR),"Bangor Intl (Bangor, ME) - KBGR",09:48AM CST,12:54PM EST,2:06,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,09-Dec-2020,LJ31,Southern Illinois (KMDH),"Southern Illinois (Carbondale/Murphysboro, IL) - KMDH",Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",12:45PM CST,01:35PM CST,0:50,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,09-Dec-2020,LJ31,Muhammad Ali Intl (KSDF),"Muhammad Ali Intl (Louisville, KY) - KSDF",Southern Illinois (KMDH),"Southern Illinois (Carbondale/Murphysboro, IL) - KMDH",12:35PM EST,12:13PM CST,0:37,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,09-Dec-2020,LJ31,Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",Muhammad Ali Intl (KSDF),"Muhammad Ali Intl (Louisville, KY) - KSDF",10:01AM CST,11:45AM EST,0:44,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,08-Dec-2020,LJ31,Dallas Love Fld (KDAL),"Dallas Love Fld (Dallas, TX) - KDAL",Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",03:58PM CST,05:49PM CST,1:51,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,08-Dec-2020,LJ31,Bob Hope (KBUR),"Bob Hope (Burbank, CA) - KBUR",Dallas Love Fld (KDAL),"Dallas Love Fld (Dallas, TX) - KDAL",10:32AM PST,03:21PM CST,2:48,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,06-Dec-2020,LJ31,Dallas Love Fld (KDAL),"Dallas Love Fld (Dallas, TX) - KDAL",Bob Hope (KBUR),"Bob Hope (Burbank, CA) - KBUR",11:19AM CST,12:19PM PST,2:59,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,06-Dec-2020,LJ31,Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",Dallas Love Fld (KDAL),"Dallas Love Fld (Dallas, TX) - KDAL",07:52AM CST,09:40AM CST,1:47,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,04-Dec-2020,LJ31,New River Valley (KPSK),"New River Valley (Dublin, VA) - KPSK",Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",07:38PM EST,08:03PM CST,1:25,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,04-Dec-2020,LJ31,Orlando Intl (KMCO),"Orlando Intl (Orlando, FL) - KMCO",New River Valley (KPSK),"New River Valley (Dublin, VA) - KPSK",02:52PM EST,04:24PM EST,1:31,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,04-Dec-2020,LJ31,Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",Orlando Intl (KMCO),"Orlando Intl (Orlando, FL) - KMCO",09:10AM CST,12:28PM EST,2:17,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,03-Dec-2020,LJ31,Portland Intl (KPDX),"Portland Intl (Portland, OR) - KPDX",Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",12:43PM PST,06:27PM CST,3:44,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,02-Dec-2020,LJ31,Redding Muni (KRDD),"Redding Muni (Redding, CA) - KRDD",Portland Intl (KPDX),"Portland Intl (Portland, OR) - KPDX",03:59PM PST,04:56PM PST,0:56,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,02-Dec-2020,LJ31,Western Neb Rgnl (KBFF),"Western Neb Rgnl (Scottsbluff, NE) - KBFF",Redding Muni (KRDD),"Redding Muni (Redding, CA) - KRDD",12:32PM MST,01:44PM PST,2:12,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,02-Dec-2020,LJ31,Aurora Muni (KARR),"Aurora Muni (Chicago/Aurora, IL) - KARR",Western Neb Rgnl (KBFF),"Western Neb Rgnl (Scottsbluff, NE) - KBFF",11:12AM CST,11:56AM MST,1:43,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
