tailnumber,dates,aircraft,origin,destination,departure,arrival,duration,Tail_number,NAME
N888CP,10-Jan-2021,LJ31,"<span dir=""ltr"">Aurora Muni</span>","<span dir=""ltr"">Detroit Metro Wayne Co</span>","<td>10:49PM <span class=""tz"">CST</span></td>","<td>12:35AM <span class=""tz"">EST</span> (+1)</td>",0:46,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,10-Jan-2021,LJ31,"<span dir=""ltr"">James M Cox Dayton Intl</span>","<span dir=""ltr"">Aurora Muni</span>","<td>01:57PM <span class=""tz"">EST</span></td>","<td>01:49PM <span class=""tz"">CST</span></td>",0:51,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,10-Jan-2021,LJ31,"<span dir=""ltr"">James M Cox Dayton Intl</span>","<span dir=""ltr"">James M Cox Dayton Intl</span>","<td>01:57PM <span class=""tz"">EST</span></td>","<td>03:07PM <span class=""tz"">EST</span></td>",1:10,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,10-Jan-2021,LJ31,"<span dir=""ltr"">Aurora Muni</span>","<span dir=""ltr"">James M Cox Dayton Intl</span>","<td>10:20AM <span class=""tz"">CST</span></td>","<td>12:03PM <span class=""tz"">EST</span></td>",0:42,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,09-Jan-2021,LJ31,"<span dir=""ltr"">Chicago Midway Intl</span>","<span dir=""ltr"">Aurora Muni</span>","<td>04:39PM <span class=""tz"">CST</span></td>","<td>04:49PM <span class=""tz"">CST</span></td>",0:10,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,09-Jan-2021,LJ31,"<span dir=""ltr"">Rochester Intl</span>","<span dir=""ltr"">Chicago Midway Intl</span>","<td>01:11PM <span class=""tz"">CST</span></td>","<td>02:01PM <span class=""tz"">CST</span></td>",0:50,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,09-Jan-2021,LJ31,"<span dir=""ltr"">Aurora Muni</span>","<span dir=""ltr"">Rochester Intl</span>","<td>10:37AM <span class=""tz"">CST</span></td>","<td>11:21AM <span class=""tz"">CST</span></td>",0:43,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,07-Jan-2021,LJ31,"<span dir=""ltr"">St Paul Holman Fld</span>","<span dir=""ltr"">Chicago Midway Intl</span>","<td>10:23AM <span class=""tz"">CST</span></td>","<td>11:22AM <span class=""tz"">CST</span></td>",0:58,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,07-Jan-2021,LJ31,"<span dir=""ltr"">Aurora Muni</span>","<span dir=""ltr"">St Paul Holman Fld</span>","<td>04:15AM <span class=""tz"">CST</span></td>","<td>05:12AM <span class=""tz"">CST</span></td>",0:57,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,06-Jan-2021,LJ31,"<span dir=""ltr"">Chicago Midway Intl</span>","<span dir=""ltr"">Aurora Muni</span>","<td>07:20PM <span class=""tz"">CST</span></td>","<td>07:32PM <span class=""tz"">CST</span></td>",0:11,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
