tailnumber,dates,aircraft,origin,destination,departure,arrival,duration,Tail_number,NAME
N642PC,07-Feb-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Odessa-Schlemeyer Fld</span>","<td>08:53PM <span class=""tz"">MST</span></td>","<td>10:34PM <span class=""tz"">CST</span></td>",0:41,N642PC,AIR METHODS CORP                                  
N642PC,07-Feb-2021,PC12,"<span dir=""ltr"">Lubbock Smith Intl</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>06:22PM <span class=""tz"">CST</span></td>","<td>06:06PM <span class=""tz"">MST</span></td>",0:43,N642PC,AIR METHODS CORP                                  
N642PC,07-Feb-2021,PC12,"<span dir=""ltr"">Cavern City Air Trml</span>","<span dir=""ltr"">Lubbock Smith Intl</span>","<td>01:57PM <span class=""tz"">MST</span></td>","<td>03:38PM <span class=""tz"">CST</span></td>",0:40,N642PC,AIR METHODS CORP                                  
N642PC,07-Feb-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Cavern City Air Trml</span>","<td>12:08PM <span class=""tz"">MST</span></td>","<td>12:28PM <span class=""tz"">MST</span></td>",0:19,N642PC,AIR METHODS CORP                                  
N642PC,07-Feb-2021,PC12,"<span dir=""ltr"">Lubbock Smith Intl</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>07:43AM <span class=""tz"">CST</span></td>","<td>07:31AM <span class=""tz"">MST</span></td>",0:47,N642PC,AIR METHODS CORP                                  
N642PC,07-Feb-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Lubbock Smith Intl</span>","<td>02:29AM <span class=""tz"">MST</span></td>","<td>04:07AM <span class=""tz"">CST</span></td>",0:37,N642PC,AIR METHODS CORP                                  
N642PC,07-Feb-2021,PC12,"<span dir=""ltr"">Lubbock Smith Intl</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>12:00AM <span class=""tz"">CST</span></td>","<td><span title=""result unknown""><i>11:50PM <span class=""tz"">MST</span> (-1) (<a href=""/about/faq.rvt#flightresultunknown"">?</a>)</i></span></td>",0:50,N642PC,AIR METHODS CORP                                  
N642PC,06-Feb-2021,PC12,"<span dir=""ltr"">Sierra Blanca Rgnl</span>","<span dir=""ltr"">Lubbock Smith Intl</span>","<td>07:56PM <span class=""tz"">MST</span></td>","<td>09:44PM <span class=""tz"">CST</span></td>",0:47,N642PC,AIR METHODS CORP                                  
N642PC,06-Feb-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Sierra Blanca Rgnl</span>","<td>07:02PM <span class=""tz"">MST</span></td>","<td>07:24PM <span class=""tz"">MST</span></td>",0:22,N642PC,AIR METHODS CORP                                  
N642PC,06-Feb-2021,PC12,"<span dir=""ltr"">Centennial</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>02:50AM <span class=""tz"">MST</span></td>","<td>04:11AM <span class=""tz"">MST</span></td>",1:20,N642PC,AIR METHODS CORP                                  
N642PC,05-Feb-2021,PC12,"<span dir=""ltr"">Taos Rgnl</span>","<span dir=""ltr"">Centennial</span>","<td>11:42PM <span class=""tz"">MST</span></td>","<td>12:39AM <span class=""tz"">MST</span> (+1)</td>",0:57,N642PC,AIR METHODS CORP                                  
N642PC,05-Feb-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Taos Rgnl</span>","<td>09:05PM <span class=""tz"">MST</span></td>","<td>10:03PM <span class=""tz"">MST</span></td>",0:57,N642PC,AIR METHODS CORP                                  
N642PC,05-Feb-2021,PC12,"<span dir=""ltr"">Centennial</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>05:59PM <span class=""tz"">MST</span></td>","<td>07:33PM <span class=""tz"">MST</span></td>",1:33,N642PC,AIR METHODS CORP                                  
N642PC,05-Feb-2021,PC12,"<span dir=""ltr"">Santa Fe Muni</span>","<span dir=""ltr"">Centennial</span>","<td>02:34PM <span class=""tz"">MST</span></td>","<td>03:44PM <span class=""tz"">MST</span></td>",1:10,N642PC,AIR METHODS CORP                                  
N642PC,05-Feb-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Santa Fe Muni</span>","<td>12:52PM <span class=""tz"">MST</span></td>","<td>01:45PM <span class=""tz"">MST</span></td>",0:53,N642PC,AIR METHODS CORP                                  
N642PC,05-Feb-2021,PC12,"<span dir=""ltr"">Lubbock Smith Intl</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>05:43AM <span class=""tz"">CST</span></td>","<td>05:23AM <span class=""tz"">MST</span></td>",0:39,N642PC,AIR METHODS CORP                                  
N642PC,05-Feb-2021,PC12,"<span dir=""ltr"">Portales Muni</span>","<span dir=""ltr"">Lubbock Smith Intl</span>","<td>01:01AM <span class=""tz"">MST</span></td>","<td>02:27AM <span class=""tz"">CST</span></td>",0:26,N642PC,AIR METHODS CORP                                  
N642PC,04-Feb-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Portales Muni</span>","<td>11:46PM <span class=""tz"">MST</span></td>","<td>12:10AM <span class=""tz"">MST</span> (+1)</td>",0:24,N642PC,AIR METHODS CORP                                  
N642PC,04-Feb-2021,PC12,"<span dir=""ltr"">Albuquerque Intl Sunport</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>01:04AM <span class=""tz"">MST</span></td>","<td>01:38AM <span class=""tz"">MST</span></td>",0:33,N642PC,AIR METHODS CORP                                  
N642PC,03-Feb-2021,PC12,"<span dir=""ltr"">Santa Fe Muni</span>","<span dir=""ltr"">Albuquerque Intl Sunport</span>","<td>11:01PM <span class=""tz"">MST</span></td>","<td>11:22PM <span class=""tz"">MST</span></td>",0:20,N642PC,AIR METHODS CORP                                  
N642PC,03-Feb-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Santa Fe Muni</span>","<td>09:17PM <span class=""tz"">MST</span></td>","<td>10:25PM <span class=""tz"">MST</span></td>",1:08,N642PC,AIR METHODS CORP                                  
N642PC,03-Feb-2021,PC12,"<span dir=""ltr"">Dona Ana County Intl Jetport</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>03:49PM <span class=""tz"">MST</span></td>","<td><span title=""result unknown""><i>04:28PM <span class=""tz"">MST</span> (<a href=""/about/faq.rvt#flightresultunknown"">?</a>)</i></span></td>",0:39,N642PC,AIR METHODS CORP                                  
N642PC,03-Feb-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Dona Ana County Intl Jetport</span>","<td>01:27PM <span class=""tz"">MST</span></td>","<td>02:21PM <span class=""tz"">MST</span></td>",0:53,N642PC,AIR METHODS CORP                                  
N642PC,03-Feb-2021,PC12,"<span dir=""ltr"">Dona Ana County Intl Jetport</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>10:45AM <span class=""tz"">MST</span></td>","<td><span title=""result unknown""><i>11:29AM <span class=""tz"">MST</span> (<a href=""/about/faq.rvt#flightresultunknown"">?</a>)</i></span></td>",0:44,N642PC,AIR METHODS CORP                                  
N642PC,03-Feb-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Dona Ana County Intl Jetport</span>","<td>08:46AM <span class=""tz"">MST</span></td>","<td>09:32AM <span class=""tz"">MST</span></td>",0:46,N642PC,AIR METHODS CORP                                  
N642PC,03-Feb-2021,PC12,"<span dir=""ltr"">Santa Fe Muni</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>12:51AM <span class=""tz"">MST</span></td>","<td>01:34AM <span class=""tz"">MST</span></td>",0:42,N642PC,AIR METHODS CORP                                  
N642PC,02-Feb-2021,PC12,"<span dir=""ltr"">Grant County</span>","<span dir=""ltr"">Santa Fe Muni</span>","<td>10:04PM <span class=""tz"">MST</span></td>","<td>10:54PM <span class=""tz"">MST</span></td>",0:50,N642PC,AIR METHODS CORP                                  
N642PC,02-Feb-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Grant County</span>","<td>08:21PM <span class=""tz"">MST</span></td>","<td><span title=""result unknown""><i>09:32PM <span class=""tz"">MST</span> (<a href=""/about/faq.rvt#flightresultunknown"">?</a>)</i></span></td>",1:10,N642PC,AIR METHODS CORP                                  
N642PC,01-Feb-2021,PC12,"<span dir=""ltr"">Las Cruces Intl</span>","Near Roswell, NM","<td>11:02PM <span class=""tz"">MST</span></td>","<td><em>Last seen 11:52PM <span class=""tz"">MST</span></em></td>",<em>0:49</em>,N642PC,AIR METHODS CORP                                  
N642PC,01-Feb-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Las Cruces Intl</span>","<td>08:00PM <span class=""tz"">MST</span></td>","<td>08:49PM <span class=""tz"">MST</span></td>",0:48,N642PC,AIR METHODS CORP                                  
N642PC,01-Feb-2021,PC12,"<span dir=""ltr"">Albuquerque Intl Sunport</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>04:28PM <span class=""tz"">MST</span></td>","<td><span title=""result unknown""><i>05:07PM <span class=""tz"">MST</span> (<a href=""/about/faq.rvt#flightresultunknown"">?</a>)</i></span></td>",0:38,N642PC,AIR METHODS CORP                                  
N642PC,01-Feb-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Albuquerque Intl Sunport</span>","<td>02:59PM <span class=""tz"">MST</span></td>","<td>03:42PM <span class=""tz"">MST</span></td>",0:43,N642PC,AIR METHODS CORP                                  
N642PC,01-Feb-2021,PC12,"<span dir=""ltr"">Lubbock Smith Intl</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>02:27AM <span class=""tz"">CST</span></td>","<td><span title=""result unknown""><i>02:13AM <span class=""tz"">MST</span> (<a href=""/about/faq.rvt#flightresultunknown"">?</a>)</i></span></td>",0:45,N642PC,AIR METHODS CORP                                  
N642PC,31-Jan-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Lubbock Smith Intl</span>","<td>09:58PM <span class=""tz"">MST</span></td>","<td>11:36PM <span class=""tz"">CST</span></td>",0:38,N642PC,AIR METHODS CORP                                  
N642PC,31-Jan-2021,PC12,"<span dir=""ltr"">Phoenix Sky Harbor Intl</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>02:30AM <span class=""tz"">MST</span></td>","<td>04:15AM <span class=""tz"">MST</span></td>",1:44,N642PC,AIR METHODS CORP                                  
N642PC,30-Jan-2021,PC12,"Near Silver City, NM","<span dir=""ltr"">Phoenix Sky Harbor Intl</span>","<em>First seen 10:01PM <span class=""tz"">MST</span></em>","<td>10:58PM <span class=""tz"">MST</span></td>",0:57,N642PC,AIR METHODS CORP                                  
N642PC,30-Jan-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Grant County</span>","<td>08:18PM <span class=""tz"">MST</span></td>","<td>09:26PM <span class=""tz"">MST</span></td>",1:07,N642PC,AIR METHODS CORP                                  
N642PC,30-Jan-2021,PC12,"<span dir=""ltr"">Fort Worth Meacham Intl</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>05:56PM <span class=""tz"">CST</span></td>","<td>07:06PM <span class=""tz"">MST</span></td>",2:09,N642PC,AIR METHODS CORP                                  
N642PC,30-Jan-2021,PC12,"<span dir=""ltr"">Sierra Blanca Rgnl</span>","<span dir=""ltr"">Fort Worth Meacham Intl</span>","<td>10:37AM <span class=""tz"">MST</span></td>","<td>01:07PM <span class=""tz"">CST</span></td>",1:29,N642PC,AIR METHODS CORP                                  
N642PC,30-Jan-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","Near Ruidoso, NM","<td>09:19AM <span class=""tz"">MST</span></td>","<td><em>Last seen 09:40AM <span class=""tz"">MST</span></em></td>",<em>0:20</em>,N642PC,AIR METHODS CORP                                  
N642PC,30-Jan-2021,PC12,"<span dir=""ltr"">Lubbock Smith Intl</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>07:03AM <span class=""tz"">CST</span></td>","<td><span title=""result unknown""><i>06:50AM <span class=""tz"">MST</span> (<a href=""/about/faq.rvt#flightresultunknown"">?</a>)</i></span></td>",0:46,N642PC,AIR METHODS CORP                                  
N642PC,30-Jan-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Lubbock Smith Intl</span>","<td>04:17AM <span class=""tz"">MST</span></td>","<td>05:52AM <span class=""tz"">CST</span></td>",0:35,N642PC,AIR METHODS CORP                                  
N642PC,29-Jan-2021,PC12,"<span dir=""ltr"">Albuquerque Intl Sunport</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>06:36PM <span class=""tz"">MST</span></td>","<td><span title=""result unknown""><i>07:18PM <span class=""tz"">MST</span> (<a href=""/about/faq.rvt#flightresultunknown"">?</a>)</i></span></td>",0:41,N642PC,AIR METHODS CORP                                  
N642PC,29-Jan-2021,PC12,"<span dir=""ltr"">Lea County Rgnl</span>","<span dir=""ltr"">Albuquerque Intl Sunport</span>","<td>03:58PM <span class=""tz"">MST</span></td>","<td>05:11PM <span class=""tz"">MST</span></td>",1:12,N642PC,AIR METHODS CORP                                  
N642PC,29-Jan-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Lea County Rgnl</span>","<td>12:34PM <span class=""tz"">MST</span></td>","<td>12:59PM <span class=""tz"">MST</span></td>",0:24,N642PC,AIR METHODS CORP                                  
N642PC,29-Jan-2021,PC12,"<span dir=""ltr"">Albuquerque Intl Sunport</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>02:23AM <span class=""tz"">MST</span></td>","<td><span title=""result unknown""><i>03:02AM <span class=""tz"">MST</span> (<a href=""/about/faq.rvt#flightresultunknown"">?</a>)</i></span></td>",0:39,N642PC,AIR METHODS CORP                                  
N642PC,28-Jan-2021,PC12,"<span dir=""ltr"">Taos Rgnl</span>","<span dir=""ltr"">Albuquerque Intl Sunport</span>","<td>11:46PM <span class=""tz"">MST</span></td>","<td>12:17AM <span class=""tz"">MST</span> (+1)</td>",0:30,N642PC,AIR METHODS CORP                                  
N642PC,28-Jan-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Taos Rgnl</span>","<td>09:24PM <span class=""tz"">MST</span></td>","<td>10:23PM <span class=""tz"">MST</span></td>",0:58,N642PC,AIR METHODS CORP                                  
N642PC,28-Jan-2021,PC12,"<span dir=""ltr"">San Antonio Intl</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>05:52AM <span class=""tz"">CST</span></td>","<td>06:36AM <span class=""tz"">MST</span></td>",1:43,N642PC,AIR METHODS CORP                                  
N642PC,28-Jan-2021,PC12,"<span dir=""ltr"">Big Spring McMahon-Wrinkle</span>","<span dir=""ltr"">San Antonio Intl</span>","<td>03:07AM <span class=""tz"">CST</span></td>","<td>04:06AM <span class=""tz"">CST</span></td>",0:58,N642PC,AIR METHODS CORP                                  
N642PC,28-Jan-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Big Spring McMahon-Wrinkle</span>","<td>12:02AM <span class=""tz"">MST</span></td>","<td>01:47AM <span class=""tz"">CST</span></td>",0:45,N642PC,AIR METHODS CORP                                  
N642PC,27-Jan-2021,PC12,"<span dir=""ltr"">Albuquerque Intl Sunport</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>05:14AM <span class=""tz"">MST</span></td>","<td>05:51AM <span class=""tz"">MST</span></td>",0:36,N642PC,AIR METHODS CORP                                  
N642PC,27-Jan-2021,PC12,"<span dir=""ltr"">Artesia Muni</span>","<span dir=""ltr"">Albuquerque Intl Sunport</span>","<td>02:00AM <span class=""tz"">MST</span></td>","<td>02:58AM <span class=""tz"">MST</span></td>",0:57,N642PC,AIR METHODS CORP                                  
N642PC,27-Jan-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Artesia Muni</span>","<td>12:47AM <span class=""tz"">MST</span></td>","<td>12:57AM <span class=""tz"">MST</span></td>",0:10,N642PC,AIR METHODS CORP                                  
N642PC,26-Jan-2021,PC12,"<span dir=""ltr"">Santa Fe Muni</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>11:02PM <span class=""tz"">MST</span></td>","<td>11:55PM <span class=""tz"">MST</span></td>",0:52,N642PC,AIR METHODS CORP                                  
N642PC,26-Jan-2021,PC12,"<span dir=""ltr"">Las Vegas Muni</span>","<span dir=""ltr"">Santa Fe Muni</span>","<td>08:32PM <span class=""tz"">MST</span></td>","<td>09:02PM <span class=""tz"">MST</span></td>",0:29,N642PC,AIR METHODS CORP                                  
N642PC,26-Jan-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Las Vegas Muni</span>","<td>07:24PM <span class=""tz"">MST</span></td>","<td><span title=""result unknown""><i>08:04PM <span class=""tz"">MST</span> (<a href=""/about/faq.rvt#flightresultunknown"">?</a>)</i></span></td>",0:40,N642PC,AIR METHODS CORP                                  
N642PC,25-Jan-2021,PC12,"<span dir=""ltr"">El Paso Intl</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>05:19AM <span class=""tz"">MST</span></td>","<td>05:56AM <span class=""tz"">MST</span></td>",0:36,N642PC,AIR METHODS CORP                                  
N642PC,25-Jan-2021,PC12,"<span dir=""ltr"">Deming Muni</span>","<span dir=""ltr"">El Paso Intl</span>","<td>02:04AM <span class=""tz"">MST</span></td>","<td>02:25AM <span class=""tz"">MST</span></td>",0:21,N642PC,AIR METHODS CORP                                  
N642PC,25-Jan-2021,PC12,"<span dir=""ltr"">Deming Muni</span>","<span dir=""ltr"">Deming Muni</span>","<td>01:27AM <span class=""tz"">MST</span></td>","<td>01:38AM <span class=""tz"">MST</span></td>",0:11,N642PC,AIR METHODS CORP                                  
N642PC,25-Jan-2021,PC12,"<span dir=""ltr"">Deming Muni</span>","<span dir=""ltr"">El Paso Intl</span>","<td>01:27AM <span class=""tz"">MST</span></td>",<td></td>,"<span title=""Changed Destination (see above)"">Diverted</span>",N642PC,AIR METHODS CORP                                  
N642PC,24-Jan-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Deming Muni</span>","<td>11:45PM <span class=""tz"">MST</span></td>","<td>12:47AM <span class=""tz"">MST</span> (+1)</td>",1:01,N642PC,AIR METHODS CORP                                  
N642PC,24-Jan-2021,PC12,"<span dir=""ltr"">Santa Fe Muni</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>12:29AM <span class=""tz"">MST</span></td>","<td>01:30AM <span class=""tz"">MST</span></td>",1:00,N642PC,AIR METHODS CORP                                  
N642PC,23-Jan-2021,PC12,"<span dir=""ltr"">Raton Muni/Crews Fld</span>","<span dir=""ltr"">Santa Fe Muni</span>","<td>10:09PM <span class=""tz"">MST</span></td>","<td>10:44PM <span class=""tz"">MST</span></td>",0:35,N642PC,AIR METHODS CORP                                  
N642PC,23-Jan-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Raton Muni/Crews Fld</span>","<td>07:59PM <span class=""tz"">MST</span></td>","<td>08:54PM <span class=""tz"">MST</span></td>",0:55,N642PC,AIR METHODS CORP                                  
N642PC,23-Jan-2021,PC12,"<span dir=""ltr"">Las Cruces Intl</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>06:36AM <span class=""tz"">MST</span></td>","<td>07:18AM <span class=""tz"">MST</span></td>",0:41,N642PC,AIR METHODS CORP                                  
N642PC,23-Jan-2021,PC12,"<span dir=""ltr"">Artesia Muni</span>","<span dir=""ltr"">Las Cruces Intl</span>","<td>04:28AM <span class=""tz"">MST</span></td>","<td>05:15AM <span class=""tz"">MST</span></td>",0:47,N642PC,AIR METHODS CORP                                  
N642PC,23-Jan-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Artesia Muni</span>","<td>03:18AM <span class=""tz"">MST</span></td>","<td>03:28AM <span class=""tz"">MST</span></td>",0:10,N642PC,AIR METHODS CORP                                  
N642PC,23-Jan-2021,PC12,"<span dir=""ltr"">Albuquerque Intl Sunport</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>12:06AM <span class=""tz"">MST</span></td>","<td>01:00AM <span class=""tz"">MST</span></td>",0:53,N642PC,AIR METHODS CORP                                  
N642PC,22-Jan-2021,PC12,"<span dir=""ltr"">Gallup Muni</span>","<span dir=""ltr"">Albuquerque Intl Sunport</span>","<td>09:50PM <span class=""tz"">MST</span></td>","<td>10:17PM <span class=""tz"">MST</span></td>",0:27,N642PC,AIR METHODS CORP                                  
N642PC,22-Jan-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Gallup Muni</span>","<td>07:35PM <span class=""tz"">MST</span></td>","<td>08:51PM <span class=""tz"">MST</span></td>",1:16,N642PC,AIR METHODS CORP                                  
N642PC,22-Jan-2021,PC12,"<span dir=""ltr"">Albuquerque Intl Sunport</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>04:10AM <span class=""tz"">MST</span></td>","<td>04:47AM <span class=""tz"">MST</span></td>",0:36,N642PC,AIR METHODS CORP                                  
N642PC,22-Jan-2021,PC12,"<span dir=""ltr"">Odessa-Schlemeyer Fld</span>","<span dir=""ltr"">Albuquerque Intl Sunport</span>","<td>12:13AM <span class=""tz"">CST</span></td>","<td>12:38AM <span class=""tz"">MST</span></td>",1:25,N642PC,AIR METHODS CORP                                  
N642PC,21-Jan-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Odessa-Schlemeyer Fld</span>","<td>08:56PM <span class=""tz"">MST</span></td>","<td>10:35PM <span class=""tz"">CST</span></td>",0:38,N642PC,AIR METHODS CORP                                  
N642PC,21-Jan-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>06:59PM <span class=""tz"">MST</span></td>","<td><span title=""result unknown""><i>07:17PM <span class=""tz"">MST</span> (<a href=""/about/faq.rvt#flightresultunknown"">?</a>)</i></span></td>",0:17,N642PC,AIR METHODS CORP                                  
N642PC,21-Jan-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>08:44AM <span class=""tz"">MST</span></td>","<td><span title=""result unknown""><i>09:17AM <span class=""tz"">MST</span> (<a href=""/about/faq.rvt#flightresultunknown"">?</a>)</i></span></td>",0:32,N642PC,AIR METHODS CORP                                  
N642PC,21-Jan-2021,PC12,"<span dir=""ltr"">Lea County Rgnl</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>07:29AM <span class=""tz"">MST</span></td>","<td><span title=""result unknown""><i>07:53AM <span class=""tz"">MST</span> (<a href=""/about/faq.rvt#flightresultunknown"">?</a>)</i></span></td>",0:23,N642PC,AIR METHODS CORP                                  
N642PC,21-Jan-2021,PC12,"<span dir=""ltr"">Lubbock Smith Intl</span>","<span dir=""ltr"">Lea County Rgnl</span>","<td>07:20AM <span class=""tz"">CST</span></td>","<td>06:54AM <span class=""tz"">MST</span></td>",0:34,N642PC,AIR METHODS CORP                                  
N642PC,21-Jan-2021,PC12,"<span dir=""ltr"">Lea County Rgnl</span>","<span dir=""ltr"">Lubbock Smith Intl</span>","<td>04:02AM <span class=""tz"">MST</span></td>","<td>05:36AM <span class=""tz"">CST</span></td>",0:34,N642PC,AIR METHODS CORP                                  
N642PC,21-Jan-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Lea County Rgnl</span>","<td>02:45AM <span class=""tz"">MST</span></td>","<td>03:09AM <span class=""tz"">MST</span></td>",0:23,N642PC,AIR METHODS CORP                                  
N642PC,20-Jan-2021,PC12,"<span dir=""ltr"">Albuquerque Intl Sunport</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>10:22PM <span class=""tz"">MST</span></td>","<td><span title=""result unknown""><i>11:03PM <span class=""tz"">MST</span> (<a href=""/about/faq.rvt#flightresultunknown"">?</a>)</i></span></td>",0:40,N642PC,AIR METHODS CORP                                  
N642PC,20-Jan-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Albuquerque Intl Sunport</span>","<td>08:43PM <span class=""tz"">MST</span></td>","<td>09:29PM <span class=""tz"">MST</span></td>",0:46,N642PC,AIR METHODS CORP                                  
N642PC,20-Jan-2021,PC12,"<span dir=""ltr"">Albuquerque Intl Sunport</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>07:27PM <span class=""tz"">MST</span></td>","<td>08:06PM <span class=""tz"">MST</span></td>",0:38,N642PC,AIR METHODS CORP                                  
N642PC,20-Jan-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Albuquerque Intl Sunport</span>","<td>06:16PM <span class=""tz"">MST</span></td>","<td>07:00PM <span class=""tz"">MST</span></td>",0:43,N642PC,AIR METHODS CORP                                  
N642PC,20-Jan-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>03:20PM <span class=""tz"">MST</span></td>","<td><span title=""result unknown""><i>03:39PM <span class=""tz"">MST</span> (<a href=""/about/faq.rvt#flightresultunknown"">?</a>)</i></span></td>",0:18,N642PC,AIR METHODS CORP                                  
N642PC,20-Jan-2021,PC12,"<span dir=""ltr"">Albuquerque Intl Sunport</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>02:10PM <span class=""tz"">MST</span></td>","<td>02:48PM <span class=""tz"">MST</span></td>",0:37,N642PC,AIR METHODS CORP                                  
N642PC,20-Jan-2021,PC12,"<span dir=""ltr"">Lea County Rgnl</span>","<span dir=""ltr"">Albuquerque Intl Sunport</span>","<td>09:10AM <span class=""tz"">MST</span></td>","<td>10:18AM <span class=""tz"">MST</span></td>",1:08,N642PC,AIR METHODS CORP                                  
N642PC,20-Jan-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Lea County Rgnl</span>","<td>07:38AM <span class=""tz"">MST</span></td>","<td>08:01AM <span class=""tz"">MST</span></td>",0:23,N642PC,AIR METHODS CORP                                  
N642PC,19-Jan-2021,PC12,"<span dir=""ltr"">Las Cruces Intl</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>04:10PM <span class=""tz"">MST</span></td>","<td>05:00PM <span class=""tz"">MST</span></td>",0:49,N642PC,AIR METHODS CORP                                  
N642PC,19-Jan-2021,PC12,"<span dir=""ltr"">Cavern City Air Trml</span>","<span dir=""ltr"">Las Cruces Intl</span>","<td>01:01PM <span class=""tz"">MST</span></td>","<td>01:44PM <span class=""tz"">MST</span></td>",0:43,N642PC,AIR METHODS CORP                                  
N642PC,19-Jan-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Cavern City Air Trml</span>","<td>11:20AM <span class=""tz"">MST</span></td>","<td>11:41AM <span class=""tz"">MST</span></td>",0:21,N642PC,AIR METHODS CORP                                  
N642PC,19-Jan-2021,PC12,"<span dir=""ltr"">Las Cruces Intl</span>","<span dir=""ltr"">Roswell Air Center</span>","<td>01:08AM <span class=""tz"">MST</span></td>","<td>01:53AM <span class=""tz"">MST</span></td>",0:44,N642PC,AIR METHODS CORP                                  
N642PC,18-Jan-2021,PC12,"<span dir=""ltr"">Artesia Muni</span>","<span dir=""ltr"">Las Cruces Intl</span>","<td>10:30PM <span class=""tz"">MST</span></td>","<td>11:21PM <span class=""tz"">MST</span></td>",0:51,N642PC,AIR METHODS CORP                                  
N642PC,18-Jan-2021,PC12,"<span dir=""ltr"">Roswell Air Center</span>","<span dir=""ltr"">Artesia Muni</span>","<td>08:51PM <span class=""tz"">MST</span></td>","<td>09:03PM <span class=""tz"">MST</span></td>",0:11,N642PC,AIR METHODS CORP                                  
