tail_number,dates,aircraft,origin,destination,departure,arrival,duration,NAME
N7025P,24-Dec-20,,"Near Red Bluff, CA","Near Emigrant Gap, CA",09:25AM PST,10:02AM PST,0:36,A PRECIOUS LIFE FLIGHT LLC                        
N7025P,27-Nov-20,,Redding Muni,"Near Chico, CA",11:26AM PST,11:42AM PST,0:16,A PRECIOUS LIFE FLIGHT LLC                        
N269GJ,18-Dec-20,LJ60,Aurora Muni,Fort Lauderdale Exec,08:53AM CST,12:20PM EST,2:26,AEROCARE MEDICAL TRANSPORT SYSTEM INC             
N888CP,11-Feb-21,LJ31,Aurora Muni,Aurora Muni,10:32AM CST,11:25AM CST,0:53,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,24-Jan-21,LJ31,Akron-Canton Rgnl,Aurora Muni,04:41PM EST,04:58PM CST,1:17,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,24-Jan-21,LJ31,McCarran Intl,Akron-Canton Rgnl,09:09AM PST,03:40PM EST,3:31,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,24-Jan-21,LJ31,Centennial,McCarran Intl,07:38AM MST,08:11AM PST,1:33,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,24-Jan-21,LJ31,Aurora Muni,Centennial,04:56AM CST,06:28AM MST,2:32,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,24-Jan-21,LJ31,Aurora Muni,Colorado Sprgs Muni,04:56AM CST,,,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,15-Jan-21,LJ31,McGhee Tyson,Aurora Muni,02:10AM EST,02:19AM CST,1:08,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,14-Jan-21,LJ31,Northwest Alabama Rgnl,McGhee Tyson,09:47PM CST,11:31PM EST,0:44,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,14-Jan-21,LJ31,Aurora Muni,Northwest Alabama Rgnl,05:36PM CST,06:56PM CST,1:19,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,12-Jan-21,LJ31,Chicago Midway Intl,Aurora Muni,11:22PM CST,11:33PM CST,0:10,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,12-Jan-21,LJ31,Willow Run,Chicago Midway Intl,11:21PM EST,11:02PM CST,0:41,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,12-Jan-21,LJ31,Aurora Muni,Willow Run,05:02PM CST,06:47PM EST,0:44,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,11-Jan-21,LJ31,Chicago Midway Intl,Aurora Muni,01:35AM CST,01:46AM CST,0:10,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,11-Jan-21,LJ31,Detroit Metro Wayne Co,Chicago Midway Intl,01:31AM EST,01:11AM CST,0:40,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,10-Jan-21,LJ31,Aurora Muni,Detroit Metro Wayne Co,10:49PM CST,12:35AM EST,0:46,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,10-Jan-21,LJ31,James M Cox Dayton Intl,Aurora Muni,01:57PM EST,01:49PM CST,0:51,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,10-Jan-21,LJ31,James M Cox Dayton Intl,James M Cox Dayton Intl,01:57PM EST,03:07PM EST,1:10,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,10-Jan-21,LJ31,Aurora Muni,James M Cox Dayton Intl,10:20AM CST,12:03PM EST,0:42,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,9-Jan-21,LJ31,Chicago Midway Intl,Aurora Muni,04:39PM CST,04:49PM CST,0:10,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,9-Jan-21,LJ31,Rochester Intl,Chicago Midway Intl,01:11PM CST,02:01PM CST,0:50,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,9-Jan-21,LJ31,Aurora Muni,Rochester Intl,10:37AM CST,11:21AM CST,0:43,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,7-Jan-21,LJ31,St Paul Holman Fld,Chicago Midway Intl,10:23AM CST,11:22AM CST,0:58,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,7-Jan-21,LJ31,Aurora Muni,St Paul Holman Fld,04:15AM CST,05:12AM CST,0:57,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,6-Jan-21,LJ31,Chicago Midway Intl,Aurora Muni,07:20PM CST,07:32PM CST,0:11,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,6-Jan-21,LJ31,Indianapolis Intl,Chicago Midway Intl,07:30PM EST,07:06PM CST,0:35,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,6-Jan-21,LJ31,Chicago Midway Intl,Indianapolis Intl,12:42PM CST,02:15PM EST,0:32,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,6-Jan-21,LJ31,Aurora Muni,Chicago Midway Intl,11:30AM CST,11:47AM CST,0:16,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,30-Dec-20,LJ31,Baltimore/Washington Intl,Aurora Muni,10:53PM EST,11:49PM CST,1:56,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,30-Dec-20,LJ31,Rogers Exec - Carter Fld,Baltimore/Washington Intl,05:25PM CST,08:16PM EST,1:50,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,30-Dec-20,LJ31,Aurora Muni,Rogers Exec - Carter Fld,12:44PM CST,02:18PM CST,1:33,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,28-Dec-20,LJ31,Chicago Midway Intl,Aurora Muni,05:34PM CST,05:45PM CST,0:10,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,28-Dec-20,LJ31,Indianapolis Intl,Chicago Midway Intl,05:36PM EST,05:12PM CST,0:35,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,28-Dec-20,LJ31,Chicago Midway Intl,Indianapolis Intl,11:34AM CST,01:05PM EST,0:30,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,28-Dec-20,LJ31,Aurora Muni,Chicago Midway Intl,09:58AM CST,10:14AM CST,0:15,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,26-Dec-20,LJ31,Chicago Midway Intl,Aurora Muni,03:25PM CST,03:35PM CST,0:10,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,26-Dec-20,LJ31,Willow Run,Chicago Midway Intl,03:23PM EST,03:07PM CST,0:44,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,26-Dec-20,LJ31,Aurora Muni,Willow Run,11:28AM CST,01:16PM EST,0:47,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,13-Dec-20,LJ31,San Jose Int'l,Aurora Muni,04:59PM PST,10:40PM CST,3:40,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,13-Dec-20,LJ31,Cheyenne Rgnl,San Jose Int'l,01:42PM MST,03:14PM PST,2:31,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,13-Dec-20,LJ31,Milwaukee Mitchell Intl Airport,Cheyenne Rgnl,11:34AM CST,12:48PM MST,2:13,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,13-Dec-20,LJ31,Aurora Muni,Milwaukee Mitchell Intl Airport,09:51AM CST,10:12AM CST,0:21,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,12-Dec-20,LJ31,Clearwater Intl,Aurora Muni,05:29PM EST,06:58PM CST,2:28,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,12-Dec-20,LJ31,San Antonio Intl,Clearwater Intl,01:47AM CST,04:43AM EST,1:55,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,11-Dec-20,LJ31,Aurora Muni,San Antonio Intl,08:23PM CST,11:18PM CST,2:54,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,10-Dec-20,LJ31,Missoula Intl,Aurora Muni,09:45PM MST,01:53AM CST,3:07,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,10-Dec-20,LJ31,Aurora Muni,Missoula Intl,05:35PM CST,07:57PM MST,3:21,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,10-Dec-20,LJ31,Bangor Intl,Aurora Muni,03:14PM EST,04:53PM CST,2:38,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,10-Dec-20,LJ31,Aurora Muni,Bangor Intl,09:48AM CST,12:54PM EST,2:06,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,9-Dec-20,LJ31,Southern Illinois,Aurora Muni,12:45PM CST,01:35PM CST,0:50,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,9-Dec-20,LJ31,Muhammad Ali Intl,Southern Illinois,12:35PM EST,12:13PM CST,0:37,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,9-Dec-20,LJ31,Aurora Muni,Muhammad Ali Intl,10:01AM CST,11:45AM EST,0:44,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,8-Dec-20,LJ31,Dallas Love Fld,Aurora Muni,03:58PM CST,05:49PM CST,1:51,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,8-Dec-20,LJ31,Bob Hope,Dallas Love Fld,10:32AM PST,03:21PM CST,2:48,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,6-Dec-20,LJ31,Dallas Love Fld,Bob Hope,11:19AM CST,12:19PM PST,2:59,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,6-Dec-20,LJ31,Aurora Muni,Dallas Love Fld,07:52AM CST,09:40AM CST,1:47,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,4-Dec-20,LJ31,New River Valley,Aurora Muni,07:38PM EST,08:03PM CST,1:25,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,4-Dec-20,LJ31,Orlando Intl,New River Valley,02:52PM EST,04:24PM EST,1:31,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,4-Dec-20,LJ31,Aurora Muni,Orlando Intl,09:10AM CST,12:28PM EST,2:17,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,3-Dec-20,LJ31,Portland Intl,Aurora Muni,12:43PM PST,06:27PM CST,3:44,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,2-Dec-20,LJ31,Redding Muni,Portland Intl,03:59PM PST,04:56PM PST,0:56,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,2-Dec-20,LJ31,Western Neb Rgnl,Redding Muni,12:32PM MST,01:44PM PST,2:12,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,2-Dec-20,LJ31,Aurora Muni,Western Neb Rgnl,11:12AM CST,11:56AM MST,1:43,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,1-Dec-20,LJ31,Chicago Midway Intl,Aurora Muni,07:38PM CST,07:49PM CST,0:10,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,1-Dec-20,LJ31,Lubbock Smith Intl,Chicago Midway Intl,04:41PM CST,06:40PM CST,1:59,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,1-Dec-20,LJ31,Chicago Midway Intl,Lubbock Smith Intl,09:21AM CST,11:35AM CST,2:13,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,1-Dec-20,LJ31,Aurora Muni,Chicago Midway Intl,07:47AM CST,08:00AM CST,0:13,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,30-Nov-20,LJ31,Hooks Mem,Aurora Muni,03:01PM CST,05:14PM CST,2:13,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,30-Nov-20,LJ31,Milwaukee Mitchell Intl Airport,Hooks Mem,11:34AM CST,01:58PM CST,2:23,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,30-Nov-20,LJ31,Aurora Muni,Milwaukee Mitchell Intl Airport,09:30AM CST,09:53AM CST,0:22,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,27-Nov-20,LJ31,Chicago Midway Intl,Aurora Muni,03:02PM CST,03:16PM CST,0:14,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,27-Nov-20,LJ31,Gerald R Ford Intl,Chicago Midway Intl,02:57PM EST,02:29PM CST,0:31,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,27-Nov-20,LJ31,Chicago Midway Intl,Gerald R Ford Intl,08:01AM CST,09:32AM EST,0:30,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,27-Nov-20,LJ31,Aurora Muni,Chicago Midway Intl,06:58AM CST,07:14AM CST,0:15,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,25-Nov-20,LJ31,Rochester Intl,Aurora Muni,12:56PM CST,01:40PM CST,0:44,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,25-Nov-20,LJ31,General Downing - Peoria Intl,Rochester Intl,11:10AM CST,11:55AM CST,0:44,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,25-Nov-20,LJ31,Aurora Muni,General Downing - Peoria Intl,10:12AM CST,10:40AM CST,0:27,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,13-Nov-20,LJ31,San Jose Int'l,Aurora Muni,05:56PM PST,11:29PM CST,3:32,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,13-Nov-20,LJ31,Centennial,San Jose Int'l,01:43PM MST,03:25PM PST,2:41,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,13-Nov-20,LJ31,Aurora Muni,Centennial,11:27AM CST,12:59PM MST,2:31,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,12-Nov-20,LJ31,Chicago Midway Intl,Aurora Muni,10:30PM CST,10:41PM CST,0:10,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,12-Nov-20,LJ31,Indianapolis Intl,Chicago Midway Intl,10:34PM EST,10:08PM CST,0:33,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,12-Nov-20,LJ31,Chicago Midway Intl,Indianapolis Intl,03:23PM CST,04:54PM EST,0:30,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,12-Nov-20,LJ31,Aurora Muni,Chicago Midway Intl,01:40PM CST,01:55PM CST,0:15,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,12-Nov-20,LJ31,Chicago Midway Intl,Aurora Muni,03:40AM CST,03:50AM CST,0:10,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,12-Nov-20,LJ31,Indianapolis Intl,Chicago Midway Intl,03:49AM EST,03:21AM CST,0:31,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,12-Nov-20,LJ31,Aurora Muni,Indianapolis Intl,12:25AM CST,02:00AM EST,0:34,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,9-Nov-20,LJ31,Dekalb-Peachtree,Aurora Muni,04:33PM EST,04:57PM CST,1:23,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,9-Nov-20,LJ31,Roanoke Rgnl,Dekalb-Peachtree,01:14PM EST,02:08PM EST,0:54,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,9-Nov-20,LJ31,Aurora Muni,Roanoke Rgnl,08:06AM CST,10:28AM EST,1:22,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,8-Nov-20,LJ31,Baltimore/Washington Intl,Aurora Muni,09:23PM EST,10:00PM CST,1:36,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,8-Nov-20,LJ31,South Bend Intl,Baltimore/Washington Intl,06:09PM EST,07:25PM EST,1:16,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,8-Nov-20,LJ31,Aurora Muni,South Bend Intl,03:07PM CST,04:31PM EST,0:23,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,7-Nov-20,LJ31,Chicago Midway Intl,Aurora Muni,02:15PM CST,02:31PM CST,0:16,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,7-Nov-20,LJ31,Gerald R Ford Intl,Chicago Midway Intl,02:29PM EST,01:59PM CST,0:29,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,7-Nov-20,LJ31,Chicago Midway Intl,Gerald R Ford Intl,07:49AM CST,09:17AM EST,0:27,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,7-Nov-20,LJ31,Aurora Muni,Chicago Midway Intl,07:04AM CST,07:18AM CST,0:13,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,6-Nov-20,LJ31,Chicago Midway Intl,Aurora Muni,07:19AM CST,07:29AM CST,0:09,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,6-Nov-20,LJ31,General Downing - Peoria Intl,Chicago Midway Intl,06:36AM CST,07:01AM CST,0:24,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,6-Nov-20,LJ31,Chicago Midway Intl,General Downing - Peoria Intl,12:58AM CST,01:24AM CST,0:25,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,5-Nov-20,LJ31,Aurora Muni,Chicago Midway Intl,11:53PM CST,12:06AM CST,0:13,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,5-Nov-20,LJ31,Lincoln,Aurora Muni,05:38PM CST,06:43PM CST,1:04,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,5-Nov-20,LJ31,Abraham Lincoln Capital,Lincoln,02:42PM CST,03:38PM CST,0:56,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,5-Nov-20,LJ31,Aurora Muni,Abraham Lincoln Capital,12:09PM CST,12:37PM CST,0:28,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,5-Nov-20,LJ31,Chicago Midway Intl,Aurora Muni,04:23AM CST,04:35AM CST,0:11,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,5-Nov-20,LJ31,General Downing - Peoria Intl,Chicago Midway Intl,03:26AM CST,03:51AM CST,0:25,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,4-Nov-20,LJ31,Chicago Midway Intl,General Downing - Peoria Intl,10:11PM CST,10:40PM CST,0:29,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,4-Nov-20,LJ31,Aurora Muni,Chicago Midway Intl,08:51PM CST,09:07PM CST,0:16,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,1-Nov-20,LJ31,Chicago Midway Intl,Aurora Muni,02:43PM CST,02:54PM CST,0:10,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,1-Nov-20,LJ31,St Cloud Rgnl,Chicago Midway Intl,01:24PM CST,02:19PM CST,0:54,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,1-Nov-20,LJ31,Chicago Midway Intl,St Cloud Rgnl,08:47AM CST,09:58AM CST,1:10,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,1-Nov-20,LJ31,Aurora Muni,Chicago Midway Intl,07:37AM CST,07:54AM CST,0:16,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N80YD,12-Feb-21,BE35,Thomasville Rgnl,Thomasville Rgnl,04:59PM EST,05:20PM EST,0:21,AEROMED TRANSPORT CO LLC                          
N80YD,4-Feb-21,BE35,Charlottesville-Albemarle,Thomasville Rgnl,08:04PM EST,12:28AM EST,4:23,AEROMED TRANSPORT CO LLC                          
N80YD,4-Feb-21,BE35,Moultrie Muni,Charlottesville-Albemarle,04:28PM EST,07:17PM EST,2:48,AEROMED TRANSPORT CO LLC                          
N80YD,4-Feb-21,BE35,Thomasville Rgnl,Moultrie Muni,07:18AM EST,07:23AM EST,0:05,AEROMED TRANSPORT CO LLC                          
N80YD,30-Jan-21,BE35,Jacksonville Exec At Craig,Thomasville Rgnl,09:54PM EST,10:44PM EST,0:50,AEROMED TRANSPORT CO LLC                          
N80YD,30-Jan-21,BE35,Thomasville Rgnl,Jacksonville Exec At Craig,05:21PM EST,06:30PM EST,1:08,AEROMED TRANSPORT CO LLC                          
N80YD,30-Jan-21,BE35,Thomasville Rgnl,Thomasville Rgnl,05:21PM EST,,,AEROMED TRANSPORT CO LLC                          
N80YD,29-Jan-21,BE35,Columbus,Thomasville Rgnl,05:21PM EST,06:25PM EST ,1:04,AEROMED TRANSPORT CO LLC                          
N80YD,29-Jan-21,BE35,Thomasville Rgnl,Columbus,06:47AM EST,07:52AM EST,1:04,AEROMED TRANSPORT CO LLC                          
N80YD,20-Jan-21,BE35,Columbus,Spence,06:00PM EST,07:10PM EST ,1:09,AEROMED TRANSPORT CO LLC                          
N80YD,19-Jan-21,BE35,"Near Moultrie, GA",Columbus,07:30AM EST,08:15AM EST,0:44,AEROMED TRANSPORT CO LLC                          
N80YD,19-Jan-21,BE35,Thomasville Rgnl,Spence,07:02AM EST,07:12AM EST,0:09,AEROMED TRANSPORT CO LLC                          
N80YD,17-Jan-21,BE35,Thomasville Rgnl,Thomasville Rgnl,05:56PM EST,06:54PM EST,0:57,AEROMED TRANSPORT CO LLC                          
N80YD,15-Jan-21,BE35,Columbus,Thomasville Rgnl,05:21PM EST,06:05PM EST ,0:44,AEROMED TRANSPORT CO LLC                          
N80YD,15-Jan-21,BE35,Thomasville Rgnl,Columbus,07:04AM EST,07:54AM EST ,0:50,AEROMED TRANSPORT CO LLC                          
N80YD,10-Jan-21,BE35,Spence,Thomasville Rgnl,06:04PM EST,06:14PM EST,0:10,AEROMED TRANSPORT CO LLC                          
N80YD,10-Jan-21,BE35,Charlottesville-Albemarle,Spence,02:36PM EST,06:03PM EST,3:26,AEROMED TRANSPORT CO LLC                          
N80YD,9-Jan-21,BE35,Spence,Charlottesville-Albemarle,02:22PM EST,05:42PM EST,3:20,AEROMED TRANSPORT CO LLC                          
N80YD,6-Jan-21,BE35,Spence,Thomasville Rgnl,06:17PM EST,06:26PM EST,0:08,AEROMED TRANSPORT CO LLC                          
N80YD,6-Jan-21,BE35,Columbus,Spence,05:17PM EST,06:03PM EST,0:45,AEROMED TRANSPORT CO LLC                          
N80YD,5-Jan-21,BE35,Thomasville Rgnl,Columbus,07:24AM EST,08:15AM EST ,0:51,AEROMED TRANSPORT CO LLC                          
N80YD,27-Dec-20,BE35,Ocala Intl,Thomasville Rgnl,06:19PM EST,07:11PM EST,0:51,AEROMED TRANSPORT CO LLC                          
N80YD,26-Dec-20,BE35,Thomasville Rgnl,Ocala Intl,10:15AM EST,11:08AM EST,0:52,AEROMED TRANSPORT CO LLC                          
N80YD,22-Dec-20,BE35,Columbus,"Near Thomasville, GA",06:11PM EST,06:52PM EST,0:40,AEROMED TRANSPORT CO LLC                          
N80YD,22-Dec-20,BE35,Thomasville Rgnl,Columbus,07:04AM EST,07:57AM EST ,0:53,AEROMED TRANSPORT CO LLC                          
N80YD,19-Dec-20,BE35,Thomasville Rgnl,Thomasville Rgnl,04:44PM EST,05:20PM EST,0:36,AEROMED TRANSPORT CO LLC                          
N80YD,18-Dec-20,BE35,Columbus,Thomasville Rgnl,05:21PM EST,06:07PM EST ,0:45,AEROMED TRANSPORT CO LLC                          
N80YD,18-Dec-20,BE35,Thomasville Rgnl,Columbus,07:14AM EST,08:09AM EST,0:54,AEROMED TRANSPORT CO LLC                          
N80YD,9-Dec-20,BE35,Columbus,Thomasville Rgnl,06:04PM EST,06:50PM EST ,0:46,AEROMED TRANSPORT CO LLC                          
N80YD,9-Dec-20,BE35,Thomasville Rgnl,Columbus,06:49AM EST,07:41AM EST ,0:52,AEROMED TRANSPORT CO LLC                          
N80YD,8-Dec-20,BE35,Columbus,Thomasville Rgnl,06:13PM EST,06:56PM EST ,0:42,AEROMED TRANSPORT CO LLC                          
N80YD,8-Dec-20,BE35,Thomasville Rgnl,Columbus,06:46AM EST,07:42AM EST ,0:55,AEROMED TRANSPORT CO LLC                          
N80YD,6-Dec-20,BE35,Moultrie Muni,Thomasville Rgnl,04:42PM EST,04:52PM EST ,0:09,AEROMED TRANSPORT CO LLC                          
N80YD,6-Dec-20,BE35,Thomasville Rgnl,Moultrie Muni,03:50PM EST,04:01PM EST,0:11,AEROMED TRANSPORT CO LLC                          
N80YD,6-Dec-20,BE35,Thomasville Rgnl,Thomasville Rgnl,10:29AM EST,11:54AM EST ,1:25,AEROMED TRANSPORT CO LLC                          
N80YD,5-Dec-20,BE35,Clearwater Air Park,Thomasville Rgnl,10:52AM EST,12:13PM EST ,1:21,AEROMED TRANSPORT CO LLC                          
N80YD,28-Nov-20,BE35,Clearwater Intl,Clearwater Air Park,04:50PM EST,05:20PM EST ,0:29,AEROMED TRANSPORT CO LLC                          
N80YD,28-Nov-20,BE35,Clearwater Air Park,Clearwater Intl,03:10PM EST,04:34PM EST,1:23,AEROMED TRANSPORT CO LLC                          
N80YD,28-Nov-20,BE35,Clearwater Air Park,Clearwater Air Park,11:44AM EST,12:10PM EST ,0:25,AEROMED TRANSPORT CO LLC                          
N80YD,16-Nov-20,BE35,Crystal River-Capt Tom Davis Fld,Clearwater Air Park,02:40PM EST,03:02PM EST ,0:21,AEROMED TRANSPORT CO LLC                          
N80YD,15-Nov-20,BE35,Crystal River-Capt Tom Davis Fld,Crystal River-Capt Tom Davis Fld,10:04AM EST,11:15AM EST ,1:10,AEROMED TRANSPORT CO LLC                          
N80YD,14-Nov-20,BE35,Clearwater Air Park,Crystal River-Capt Tom Davis Fld,10:36AM EST,11:05AM EST ,0:28,AEROMED TRANSPORT CO LLC                          
N80YD,10-Nov-20,BE35,Albert Whitted,Clearwater Air Park,09:21AM EST,09:32AM EST,0:11,AEROMED TRANSPORT CO LLC                          
N80YD,4-Nov-20,BE35,Clearwater Air Park,Albert Whitted,02:36PM EST,02:50PM EST ,0:14,AEROMED TRANSPORT CO LLC                          
N644AT,8-Feb-21,C650,Naples Muni,Punta Gorda,05:01PM EST,05:20PM EST,0:18,AIR AMBULANCE BY AIR TREK INC                     
N644AT,8-Feb-21,C650,Lovell Fld,Naples Muni,03:04PM EST,04:37PM EST,1:33,AIR AMBULANCE BY AIR TREK INC                     
N644AT,8-Feb-21,C650,Punta Gorda,Lovell Fld,12:20PM EST,01:50PM EST,1:29,AIR AMBULANCE BY AIR TREK INC                     
N644AT,7-Feb-21,C650,Page Fld,Punta Gorda,07:23PM EST,07:33PM EST,0:09,AIR AMBULANCE BY AIR TREK INC                     
N644AT,7-Feb-21,C650,Harrisburg Intl,Page Fld,04:18PM EST,07:02PM EST,2:43,AIR AMBULANCE BY AIR TREK INC                     
N644AT,6-Feb-21,C650,Punta Gorda,Harrisburg Intl,12:46PM EST,03:01PM EST,2:14,AIR AMBULANCE BY AIR TREK INC                     
N644AT,30-Jan-21,C650,Sarasota/Bradenton Intl,Punta Gorda,06:46PM EST,06:59PM EST,0:13,AIR AMBULANCE BY AIR TREK INC                     
N644AT,30-Jan-21,C650,John Glenn Columbus Intl Airport,Sarasota/Bradenton Intl,04:24PM EST,06:24PM EST,1:59,AIR AMBULANCE BY AIR TREK INC                     
